Example Product Name,Product Details
Product 0,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  BMAX Y13 13.3"" 2 in 1 Convertible Laptop, FHD(1920 x 1080) Touchscreen , 8GB DDR4, 256GB SSD, Intel Quad Core N4120, WiFi, Bluetooth, USB-C, Windows 10, Thin and Light All-Metal Body  4.2 out of 5 stars 55  Personal Computers $405.00$405.00  Ships to Turkey



"
Product 1,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  LincPlus 14"" Slim Metal Laptop 4GB RAM 64GB eMMC Storage Upgradeable up to 512GB Windows 10 S Intel Celeron N3350 Netbook Computer Full HD Fanless Quiet Notebook  4.6 out of 5 stars 6  Personal Computers $299.00$299.00  $15.00 coupon applied at checkoutSave $15.00  with coupon Ships to Turkey



"
Product 2,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  BMAX X15 Laptop Computers, 15.6"" FHD (1920 x 1080) Display, Intel 4120 up to 2.6 GHz, 8GB DDR4, 256GB SSD Storage, HDMI, Webcam, WI-FI, Windows 10 - Space Grey  3.9 out of 5 stars 43  Personal Computers $359.00$359.00  Ships to Turkey



"
Product 3,"

Google Pixelbook Go - Lightweight Chromebook Laptop - Up to 12 Hours Battery Life[1] - Touch Screen Chromebook - Just Black  4.5 out of 5 stars 1,094  Just Black Also available in Not Pink Climate Pledge FriendlySee 1 certificationWe’ve made it easier to discover products with sustainability certifications, as part of our commitment to help preserve the natural world. Time is fleeting. Learn more PRODUCT CERTIFICATION (1) EPEAT 

"
Product 4,"

Apple 13in MacBook Air, 1.8GHz Intel Core i5 Dual Core Processor, 8GB RAM, 128GB SSD, Mac OS, Silver, MQD32LL/A (Newest Version) (Renewed)  4.4 out of 5 stars 614  Personal Computers $531.43$531.43 $574.00$574.00  Ships to TurkeyMore Buying Choices$489.00(23 new offers) 

"
Product 5,"

Dell Inspiron 17 3793 2020 Premium 17.3” FHD Laptop Notebook Computer, 10th Gen 4-Core Intel Core i5-1035G1 1.0 GHz, 16GB RAM, 512GB SSD + 1TB HDD, DVD,Webcam,Bluetooth,Wi-Fi,HDMI, Win 10 Home  4.4 out of 5 stars 497  Personal Computers $840.00$840.00  Ships to TurkeyOnly 14 left in stock - order soon.More Buying Choices$629.00(18 used & new offers) 

"
Product 6,"

MSI GF65 Thin 10UE-047 15.6"" 144Hz 3ms Gaming Laptop Intel Core i7-10750H RTX3060 16GB 512GB NVMe SSD Win10  4.1 out of 5 stars 18  Personal Computers $1,349.99$1,349.99  Ships to TurkeyOnly 1 left in stock - order soon.More Buying Choices$1,240.16(32 used & new offers) 

"
Product 7,"

2021 Newest Dell Inspiron 15 3000 Series 3593 Laptop, 15.6"" HD Non-Touch, 10th Gen Intel Core i3-1005G1 Processor, 8GB RAM, 256GB PCIe NVMe SSD, Webcam, HDMI, Wi-Fi, Bluetooth, Windows 10 Home, Black  4.4 out of 5 stars 197  Personal Computers $449.00$449.00  Ships to TurkeyOnly 3 left in stock - order soon.More Buying Choices$445.00(9 new offers) 

"
Product 8,"

2020 Newest HP ENVY x360 2-in-1 Laptop, 15.6"" Full HD Touchscreen, AMD Ryzen 5 4500U Processor up to 4.0GHz, 8GB Memory, 256GB PCIe SSD, Backlit Keyboard, HDMI, Wi-Fi, Windows 10 Home, Nightfall Black  4.4 out of 5 stars 451  Personal Computers $723.99$723.99  Ships to TurkeyMore Buying Choices$539.00(36 used & new offers) 

"
Product 9,"

2020 Newest Lenovo IdeaPad 3 15"" HD Touch Screen Laptop, Intel 10th Gen Dual-Core i3-1005G1 CPU, 8GB DDR4 RAM, 256GB PCI-e SSD, Webcam, WiFi 5, Bluetooth, Windows 10 S - Almond  4.6 out of 5 stars 641  Personal Computers $487.00$487.00  Ships to TurkeyMore Buying Choices$445.00(35 used & new offers) 

"
