Example Product Name,Product Details
Product 17," Acer Swift 3 Thin & Light Laptop, 14"" Full HD IPS, AMD Ryzen 7 4700U Octa-Core with Radeon Graphics, 8GB LPDDR4, 512GB NVMe SSD, Wi-Fi 6, Backlit KB, Fingerprint Reader, Alexa Built-in  4.6 out of 5 stars 2,099  Personal Computers $679.99$679.99  Ships to TurkeyMore Buying Choices$679.00(14 used & new offers) Amazon Certified: Alexa Built-in"
Product 18," ASUS F512DA-EB51 VivoBook 15 Thin and Light Laptop, 15.6” Full HD, AMD Quad Core R5-3500U CPU, 8GB DDR4 RAM, 256GB PCIe SSD, AMD Radeon Vega 8 Graphics, Windows 10 Home, Slate Gray  4.6 out of 5 stars 2,227  Personal Computers $599.00$599.00  Ships to TurkeyOnly 5 left in stock - order soon.More Buying Choices$498.29(39 used & new offers) "
Product 19," Lenovo Chromebook C330 2-in-1 Convertible Laptop, 11.6-Inch HD (1366 x 768) IPS Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64 GB eMMC, Chrome OS, 81HY0000US, Blizzard White  4.5 out of 5 stars 6,744  Personal Computers $292.51$292.51  Ships to TurkeyMore Buying Choices$241.03(65 used & new offers) "
Product 20," Lenovo IdeaPad 3 15"" Laptop, 15.6"" HD (1366 x 768) Display, AMD Ryzen 3 3250U Processor, 4GB DDR4 Onboard RAM, 128GB SSD, AMD Radeon Vega 3 Graphics, Windows 10, 81W10094US, Business Black  4.5 out of 5 stars 862  Personal Computers $359.99$359.99  Ships to TurkeyMore Buying Choices$309.00(53 used & new offers) "
Product 21," Lenovo Legion 5 Gaming Laptop, 15.6"" FHD (1920x1080) IPS Screen, AMD Ryzen 7 4800H Processor, 16GB DDR4, 512GB SSD, NVIDIA GTX 1660Ti, Windows 10, 82B1000AUS, Phantom Black  4.6 out of 5 stars 1,252  Personal Computers $1,149.00$1,149.00  Ships to TurkeyOnly 18 left in stock - order soon."
Product 22," ASUS VivoBook 15 F515 Thin and Light Laptop, 15.6” FHD Display, Intel Core i3-1005G1 Processor, 4GB DDR4 RAM, 128GB PCIe SSD, Fingerprint Reader, Windows 10 Home in S Mode, Slate Grey, F515JA-AH31  4.5 out of 5 stars 223  Personal Computers $369.99$369.99  Ships to Turkey"
Product 23," Lenovo Chromebook Flex 5 13"" Laptop, FHD (1920 x 1080) Touch Display, Intel Core i3-10110U Processor, 4GB DDR4 Onboard RAM, 64GB eMMC, Intel Integrated Graphics, Chrome OS, 82B80006UX, Graphite Grey  4.5 out of 5 stars 2,126  Personal Computers $397.13$397.13  Ships to TurkeyMore Buying Choices$309.00(93 used & new offers) "
Product 24," Microsoft Surface Pro 7 – 12.3"" Touch-Screen - 10th Gen Intel Core i5 - 8GB Memory - 128GB SSD (Latest Model) – Platinum (VDV-00001)  4.4 out of 5 stars 2,237  Platinum Ships to TurkeyAlso available in Matte Black Climate Pledge FriendlySee 1 certificationWe’ve made it easier to discover products with sustainability certifications, as part of our commitment to help preserve the natural world. Time is fleeting. Learn more PRODUCT CERTIFICATION (1) EPEAT "
Product 25," 2020 Apple MacBook Pro with Intel Processor (13-inch, 16GB RAM, 512GB SSD Storage) - Space Gray  4.8 out of 5 stars 1,451  $1,599.00$1,599.00 $1,799.00$1,799.00  Only 12 left in stock - order soon.More Buying Choices$1,405.99(4 used & new offers) "
Product 26," Apple MacBook Air MD760LL/A 13.3-Inch Laptop (Intel Core i5 Dual-Core 1.3GHz up to 2.6GHz, 4GB RAM, 128GB SSD, Wi-Fi, Bluetooth 4.0) (Renewed)  4.4 out of 5 stars 1,819  Personal Computers $398.00$398.00 $447.98$447.98  Ships to TurkeyMore Buying Choices$384.99(24 new offers) "
Product 27," Razer Blade 15 Base Gaming Laptop 2021: Intel Core i7-10750H 6 Core, NVIDIA GeForce RTX 3060, 15.6"" FHD 1080p 144Hz, 16GB, 512GB SSD - CNC Aluminum - Chroma RGB Lighting - Thunderbolt 3  4.5 out of 5 stars 98  Personal Computers $1,699.99$1,699.99  Ships to Turkey"
Product 28," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  BMAX Y13 13.3"" 2 in 1 Convertible Laptop, FHD(1920 x 1080) Touchscreen , 8GB DDR4, 256GB SSD, Intel Quad Core N4120, WiFi, Bluetooth, USB-C, Windows 10, Thin and Light All-Metal Body  4.2 out of 5 stars 55  Personal Computers $405.00$405.00  Ships to Turkey"
