Example Product Name,Product Details
Product 4, Dell Inspiron 3583 15” Laptop Intel Celeron – 128GB SSD – 4GB DDR4 – 1.6GHz - Intel UHD Graphics 610 - Windows 10 Home - Inspiron 15 3000 Series - New  4.4 out of 5 stars 143  Personal Computers $361.00$361.00  Ships to TurkeyOnly 5 left in stock - order soon.More Buying Choices$299.99(29 used & new offers) 
Product 5," Apple MacBook Air MJVM2LL/A 11.6 Inch Laptop (Intel Core i5 Dual-Core 1.6GHz up to 2.7GHz, 4GB RAM, 128GB SSD, Wi-Fi, Bluetooth 4.0, Integrated Intel HD Graphics 6000, Mac OS) (Renewed)  4.4 out of 5 stars 1,861  Personal Computers $395.00$395.00 $499.00$499.00  Ships to TurkeyOnly 1 left in stock - order soon.More Buying Choices$384.99(11 new offers) "
Product 6," HP Pavilion x360 14 Convertible 2-in-1 Laptop, 14” Full HD Touchscreen Display, Intel Core i5, 8 GB DDR4 RAM, 512 GB SSD Storage, Windows 10 Home, Backlit Keyboard (14-dh2011nr, 2020 Model)  4.7 out of 5 stars 1,268  Personal Computers $739.99$739.99  Ships to TurkeyOnly 3 left in stock - order soon.More Buying Choices$679.66(16 used & new offers) Amazon Certified: Alexa Built-in"
Product 7," Lenovo Chromebook S330 Laptop, 14-Inch FHD (1920 x 1080) Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64GB eMMC, Chrome OS, 81JW0000US, Business Black  4.3 out of 5 stars 1,585  Personal Computers $279.99$279.99  Ships to TurkeyMore Buying Choices$249.66(57 used & new offers) "
Product 8," HP EliteBook 840 G3 Laptop 14"" HD Display, Intel Core i5-6300U 2.4Ghz, 256GB SSD, 16GB DDR4 RAM, Webcam, WiFi, Windows 10 Pro (Renewed)  4.3 out of 5 stars 267  Personal Computers $389.00$389.00  Ships to TurkeyOnly 1 left in stock - order soon.More Buying Choices$383.00(10 new offers) "
Product 9," ASUS VivoBook 15 Thin and Light Laptop- 15.6” Full HD, Intel i5-1035G1 CPU, 8GB RAM, 512GB SSD, Backlit KeyBoard, Fingerprint, Windows 10- F512JA-AS54, Slate Gray  4.4 out of 5 stars 652  Personal Computers $749.00$749.00  Ships to TurkeyOnly 1 left in stock - order soon.More Buying Choices$599.98(26 used & new offers) "
Product 10," Samsung Chromebook XE303C12-A01 11.6-inch, Exynos 5250, 2GB RAM, 16GB SSD, Silver (Renewed)  3.6 out of 5 stars 6,359  Silver $121.49$121.49 $158.89$158.89  Ships to TurkeyIn stock on May 24, 2021.More Buying Choices$117.95(7 new offers) "
Product 11," Samsung Galaxy Book Pro Laptop Computer, 15.6"" AMOLED Screen, i7 11th Gen, 16GB Memory, 512GB SSD, Long-Lasting Battery, Mystic Blue  3.7 out of 5 stars 12  Mystic Blue $1,299.99$1,299.99  Ships to TurkeyPrice may vary by color"
Product 12," Lenovo IdeaPad Flex 5 2-in-1 Laptop, 14"" Full HD IPS Touch Screen, AMD Ryzen 7 4700U, Webcam, Backlit Keyboard, Fingerprint Reader, USB-C, HDMI, Windows 10 Home, 16GB RAM, 512GB PCIe SSD  4.3 out of 5 stars 12  Personal Computers $729.00$729.00  Ships to TurkeyMore Buying Choices$679.99(29 used & new offers) "
Product 13," HP Chromebook 11-inch Laptop - Up to 15 Hour Battery Life - MediaTek - MT8183 - 4 GB RAM - 32 GB eMMC Storage - 11.6-inch HD Display - with Chrome OS - (11a-na0021nr, 2020 Model, Snow White)  4.5 out of 5 stars 936  Snow White $227.99$227.99 $239.99$239.99  Ships to TurkeyMore Buying Choices$149.00(43 used & new offers) Price may vary by color"
Product 14," 2020 HP 14 inch HD Laptop, Intel Celeron N4020 up to 2.8 GHz, 4GB DDR4, 64GB eMMC Storage, WiFi 5, Webcam, HDMI, Windows 10 S /Legendary Accessories (Google Classroom or Zoom Compatible) (Rose Gold)  4.6 out of 5 stars 1,310  Rose Gold $399.99$399.99  Price may vary by color+  "
Product 15," Dell Inspiron 15 5502, 15.6 inch FHD Thin & Light Laptop - Intel Core i5-1135G7, 8GB 3200MHz DDR4 RAM, 512GB SSD, Iris Xe Graphics, Windows 10 Home - Silver (Latest Model)  4.3 out of 5 stars 103  Personal Computers $687.00$687.00 $749.00$749.00  Ships to TurkeyOnly 1 left in stock - order soon.Amazon Certified: Alexa Built-in"
Product 16," LG Gram 17Z90P - 17"" WQXGA (2560x1600) Ultra-Lightweight Laptop, Intel evo with 11th gen CORE i7 1165G7 CPU , 16GB RAM, 1TB SSD, Alexa Built-in, 19.5 Hours Battery, Thunderbolt 4, Black - 2021  4.6 out of 5 stars 396  Personal Computers $1,799.99$1,799.99  Ships to TurkeyAmazon Certified: Alexa Built-in"
Product 17," ASUS ZenBook 14 Ultra-Slim Laptop 14” FHD NanoEdge Bezel Display, Intel Core i7-1165G7, NVIDIA MX450, 16GB RAM, 512GB SSD, ScreenPad 2.0, Thunderbolt 4, Windows 10 Pro, Pine Grey, UX435EG-XH74  4.1 out of 5 stars 21  Personal Computers $1,199.90$1,199.90 $1,555.99$1,555.99  Ships to TurkeyMore Buying Choices$979.97(22 used & new offers) "
Product 18," HP Pavilion Gaming 15-Inch Micro-EDGE Laptop, Intel Core i5-9300H Processor, NVIDIA GeForce GTX 1650 (4 GB), 8 GB SDRAM, 256 GB SSD, Windows 10 Home (15-dk0020nr, Shadow Black/Acid Green)  4.6 out of 5 stars 547  Personal Computers $699.00$699.00  Ships to TurkeyOnly 5 left in stock - order soon.More Buying Choices$665.98(28 used & new offers) "
Product 19," 2020 HP 17.3"" HD+ Premium Laptop Computer, AMD Ryzen 5 3500U Quad-Core Up to 3.7GHz, 12GB DDR4 RAM, 256GB SSD, DVDRW, AMD Radeon Vega 8, 802.11ac WiFi, Bluetooth 4.2, USB 3.1, HDMI, Black, Windows 10  4.5 out of 5 stars 315  Personal Computers $699.99$699.99  Only 8 left in stock - order soon.More Buying Choices$575.00(17 used & new offers) "
Product 20," Apple MacBook Air MJVM2LL/A 11.6-Inch laptop(1.6 GHz Intel i5, 128 GB SSD, Integrated Intel HD Graphics 6000, Mac OS X Yosemite (Renewed)  4.4 out of 5 stars 2,406  Personal Computers $395.52$395.52 $415.75$415.75  Ships to TurkeyOnly 1 left in stock - order soon.More Buying Choices$384.00(15 new offers) "
Product 21," Acer Predator Helios 300 Gaming Laptop, Intel i7-10750H, NVIDIA GeForce RTX 2060 6GB, 15.6"" Full HD 144Hz 3ms IPS Display, 16GB Dual-Channel DDR4, 512GB NVMe SSD, Wi-Fi 6, RGB Keyboard, PH315-53-72XD  4.7 out of 5 stars 3,175  Personal Computers $1,499.00$1,499.00  Ships to TurkeyOnly 9 left in stock - order soon.More Buying Choices$1,249.00(31 used & new offers) Amazon Certified: Alexa Built-in"
Product 22," Dell Inspiron 15 3000 Laptop (2021 Latest Model), 15.6"" HD Display, Intel N4020 Dual-Core Processor, 8GB RAM, 256GB SSD, Webcam, HDMI, Bluetooth, Wi-Fi, Black, Windows 10  4.9 out of 5 stars 23  Personal Computers $449.00$449.00  "
Product 23," ASUS VivoBook 15 Thin & Light Laptop, 15.6” FHD Display, AMD Quad Core R7-3700U CPU, 8GB DDR4 RAM, 512GB PCIe SSD, AMD Radeon Vega 10 Graphics, Fingerprint, Windows 10 Home, Slate Gray, F512DA-NH77  4.6 out of 5 stars 814  Personal Computers $679.00$679.00  Ships to TurkeyOnly 7 left in stock - order soon.More Buying Choices$500.00(38 used & new offers) "
Product 0,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  BMAX Y13 13.3"" 2 in 1 Convertible Laptop, FHD(1920 x 1080) Touchscreen , 8GB DDR4, 256GB SSD, Intel Quad Core N4120, WiFi, Bluetooth, USB-C, Windows 10, Thin and Light All-Metal Body  4.2 out of 5 stars 55  Personal Computers $405.00$405.00  Ships to Turkey



"
Product 1,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  LincPlus 14"" Slim Metal Laptop 4GB RAM 64GB eMMC Storage Upgradeable up to 512GB Windows 10 S Intel Celeron N3350 Netbook Computer Full HD Fanless Quiet Notebook  4.6 out of 5 stars 6  Personal Computers $299.00$299.00  $15.00 coupon applied at checkoutSave $15.00  with coupon Ships to Turkey



"
Product 2,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  BMAX X15 Laptop Computers, 15.6"" FHD (1920 x 1080) Display, Intel 4120 up to 2.6 GHz, 8GB DDR4, 256GB SSD Storage, HDMI, Webcam, WI-FI, Windows 10 - Space Grey  3.9 out of 5 stars 43  Personal Computers $359.00$359.00  Ships to Turkey



"
Product 3,"

ASUS ZenBook Pro Duo UX581 Laptop, 15.6” 4K UHD NanoEdge Touch Display, Intel Core i9-10980HK, 32GB RAM, 1TB PCIe SSD, GeForce RTX 2060, ScreenPad Plus, Windows 10 Pro, Celestial Blue, UX581LV-XS94T  4.5 out of 5 stars 48  Personal Computers 

"
Product 4,"

HP Stream 14-Inch Touchscreen Laptop, AMD Athlon 3050U2a, 4 GB SDRAM, 64 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for One Year (Silver), cm. Accessories  4.4 out of 5 stars 64  Personal Computers $327.99$327.99 $369.00$369.00  Ships to TurkeyMore Buying Choices$299.99(4 used & new offers) 

"
Product 5,"

Apple MacBook Pro 13in Core i5 Retina 2.7GHz (MF840LL/A), 8GB Memory, 256GB Solid State Drive (Renewed)  4.3 out of 5 stars 770  Personal Computers $599.00$599.00  Ships to TurkeyMore Buying Choices$568.97(10 new offers) 

"
Product 6,"

HP Chromebook x360 14-inch HD Touchscreen Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14b-ca0010nr, Ceramic White/Mineral Silver)  4.6 out of 5 stars 1,975  Personal Computers $328.00$328.00 $399.99$399.99  Ships to TurkeyIn stock on June 4, 2021.More Buying Choices$239.00(89 used & new offers) 

"
Product 7,"

Dell XPS 13 (9310), 13.4- inch UHD+ Touch Laptop - Intel Core i7-1185G7, 32GB 4267MHz LPDDR4x RAM, 2TB SSD, Iris Xe Graphics, Windows 10 Home - Platinum Silver with Black Palmrest (Latest Model)  4.0 out of 5 stars 113  Personal Computers $2,190.00$2,190.00  Ships to TurkeyOnly 2 left in stock - order soon.More Buying Choices$1,591.59(5 used & new offers) Amazon Certified: Alexa Built-in

"
Product 8,"

Dell Latitude E7470 14in Laptop, Core i5-6300U 2.4GHz, 8GB Ram, 256GB SSD, Windows 10 Pro 64bit (Renewed)  4.3 out of 5 stars 467  Personal Computers $429.99$429.99  Ships to TurkeyOnly 12 left in stock - order soon.More Buying Choices$369.10(17 new offers) 

"
Product 9,"

HP 14"" Touchscreen Home and Business Laptop Ryzen 3-3200U, 8GB RAM, 128GB M.2 SSD, Dual-Core up to 3.50 GHz, Vega 3 Graphics, RJ-45, USB-C, 4K Output HDMI, Bluetooth, Webcam, 1366x768, Win 10  4.5 out of 5 stars 1,304  Personal Computers $438.00$438.00  Ships to TurkeyOnly 6 left in stock - order soon.More Buying Choices$359.00(30 used & new offers) 

"
Product 10,"

Razer Blade 15 Advanced Gaming Laptop 2021: Intel Core i7-10875H 8-Core, NVIDIA GeForce RTX 3070, 15.6” QHD 240Hz, 16GB RAM, 1TB SSD - CNC Aluminum - Chroma RGB - THX Spatial Audio - Thunderbolt 3  4.0 out of 5 stars 40  Personal Computers $2,499.99$2,499.99  Ships to Turkey

"
Product 11,"

Acer C720 11.6in Chromebook Intel Celeron 1.40GHz Dual Core Processor, 2GB RAM, 16GB W/Chrome OS (Renewed)  4.0 out of 5 stars 434  Personal Computers $127.90$127.90 $141.99$141.99  Ships to TurkeyMore Buying Choices$125.00(16 new offers) 

"
Product 12,"

Microsoft Surface Laptop 4 13.5” Touch-Screen – AMD Ryzen 5 Surface Edition - 8GB Memory - 256GB Solid State Drive (Latest Model) - Platinum  4.5 out of 5 stars 31  Platinum 

"
Product 13,"

HP 14-inch Chromebook HD Touchscreen Laptop PC (Intel Celeron N3350 up to 2.4GHz, 4GB RAM, 32GB Flash Memory, WiFi, HD Camera, Bluetooth, Up to 10 hrs Battery Life, Chrome OS , Black)  4.5 out of 5 stars 1,494  Personal Computers $258.90$258.90  Ships to TurkeyMore Buying Choices$224.00(99 used & new offers)  Climate Pledge FriendlySee 1 certificationWe’ve made it easier to discover products with sustainability certifications, as part of our commitment to help preserve the natural world. Time is fleeting. Learn more PRODUCT CERTIFICATION (1) EPEAT 

"
Product 14,"

2020 HP 15.6"" HD LED Display Laptop, Intel Pentium Gold 6405U Processor, 4GB DDR4 RAM, 128GB SSD, HDMI, Webcam, WI-FI, Windows 10 S, Scarlet Red  4.6 out of 5 stars 605  Electronics 

"
Product 15,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Panasonic Toughbook CF-19 MK4, Intel i5-U540 @1.20GHz, 10.4"" XGA Touchscreen, 4GB, 128GB SSD, WiFi, Bluetooth, Windows 10 Professional (Renewed)  1.8 out of 5 stars 3  Personal Computers $399.00$399.00  Ships to TurkeyOnly 2 left in stock - order soon.



"
Product 16,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Laptop 14 Inch, Winnovo Laptop Computer, 6GB RAM, 128GB SSD, Intel Celeron Processor, HD IPS Display, Windows 10 S, HDMI, Touch Numeric Keypad, 5G WiFi  4.8 out of 5 stars 10  Personal Computers $299.99$299.99  $30.00 coupon applied at checkoutSave $30.00  with coupon Ships to Turkey



"
Product 17,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Laptop Computer Notebook 14-Inch Windows-10 – WINNOVO WinBook N140 6GB RAM 64GB ROM Intel Celeron Processor HD IPS Display Numeric Touchpad 5G WiFi HDMI (Space Grey)  3.5 out of 5 stars 8  Personal Computers $269.99$269.99 $289.99$289.99  $20.00 coupon applied at checkoutSave $20.00  with coupon Ships to Turkey



"
Product 18,"

2020 HP Envy x360 2-in-1 13.3"" FHD IPS Touchscreen Laptop Intel Evo Platform 11th Gen Core i7-1165G7 8GB Memory 512GB SSD Pale Gold - Backlit Keyboard -Fingerprint Reader -Thunderbolt - WiFi 6  4.6 out of 5 stars 56  Personal Computers $859.00$859.00 $999.00$999.00  Ships to TurkeyMore Buying Choices$749.00(27 used & new offers) 

"
Product 19,"

Acer Nitro 5 Gaming Laptop, 10th Gen Intel Core i5-10300H,NVIDIA GeForce GTX 1650 Ti, 15.6"" Full HD IPS 144Hz Display, 8GB DDR4,256GB NVMe SSD,WiFi 6, DTS X Ultra,Backlit Keyboard,AN515-55-59KS  4.6 out of 5 stars 2,356  Personal Computers 

"
Product 20,"

Dell Inspiron 14 5406 2 in 1 Convertible Laptop, 14-inch FHD Touchscreen Laptop - Intel Core i7-1165G7, 12GB 3200MHz DDR4 RAM, 512GB SSD, Iris Xe Graphics, Windows 10 Home - Titan Grey (Latest Model)  4.4 out of 5 stars 90  Personal Computers $888.61$888.61 $979.99$979.99  Ships to TurkeyOnly 4 left in stock - order soon.More Buying Choices$807.50(18 used & new offers) Amazon Certified: Alexa Built-in

"
Product 21,"

Lenovo Ideapad L340 Gaming Laptop, 15.6 Inch FHD (1920 X 1080) IPS Display, Intel Core i5-9300H Processor, 8GB DDR4 RAM, 512GB Nvme SSD, NVIDIA GeForce GTX 1650, Windows 10, 81LK00HDUS, Black  4.6 out of 5 stars 1,246  Personal Computers $755.00$755.00 $969.99$969.99  Ships to TurkeyOnly 18 left in stock - order soon.More Buying Choices$669.00(31 used & new offers) 

"
Product 22,"

2020 HP 15 15.6"" HD Touchscreen Premium Laptop - 10th Gen Intel Core i5-1035G1, 16GB DDR4, 512GB SSD, USB Type-C, HDMI, Windows 10 - Silver W  4.5 out of 5 stars 1,568  Personal Computers $755.00$755.00  More Buying Choices$675.00(18 used & new offers)  Climate Pledge FriendlySee 1 certificationWe’ve made it easier to discover products with sustainability certifications, as part of our commitment to help preserve the natural world. Time is fleeting. Learn more PRODUCT CERTIFICATION (1) EPEAT 

"
Product 23,"

2021 Newest Acer Aspire 5 Slim Laptop, 15.6 inches Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 8GB DDR4, 256GB SSD, Backlit Keyboard, Windows 10 + Oydisen Cloth  4.3 out of 5 stars 18  Personal Computers $469.99$469.99 $495.99$495.99  

"
Product 24,"

Microsoft Surface Laptop 3 – 13.5"" Touch-Screen – Intel Core i5 - 8GB Memory - 256GB Solid State Drive – Platinum with Alcantara  4.5 out of 5 stars 1,628  Platinum $849.99$849.99 $1,299.00$1,299.00  Ships to TurkeyIn stock on May 27, 2021.More Buying Choices$820.00(9 used & new offers) Price may vary by color Climate Pledge FriendlySee 1 certificationWe’ve made it easier to discover products with sustainability certifications, as part of our commitment to help preserve the natural world. Time is fleeting. Learn more PRODUCT CERTIFICATION (1) EPEAT 

"
Product 25,"

Fast Dell Latitude E5470 HD Business Laptop Notebook PC (Intel Core i5-6300U, 8GB Ram, 256GB Solid State SSD, HDMI, Camera, WiFi, SC Card Reader) Win 10 Pro (Renewed).  4.2 out of 5 stars 727  Personal Computers $399.00$399.00  Ships to TurkeyOnly 7 left in stock - order soon.More Buying Choices$365.00(13 new offers) 

"
Product 26,"

Samsung Galaxy Book Flex 15.6"" - Intel Core i7 Processor 1065G7 - 16GB Memory - 512GB SSD - NP950QCG-K03US  4.6 out of 5 stars 306  Personal Computers $1,629.00$1,629.00  Ships to TurkeyMore Buying Choices$1,422.73(3 used & new offers) 

"
Product 27,"

HP Chromebook 14 - 14"" HD Non-Touch Intel Pentium Silver N5000, Intel UHD Graphics 605, 4GB RAM, 64GB eMMC, WiFi, Bluetooth, Audio by B&O, Chrome OS (Renewed)  4.6 out of 5 stars 224  sliver $194.00$194.00  Ships to TurkeyPrice may vary by color

"
Product 28,"

2021 HP 14 inch HD Laptop Newest for Business and Student, AMD Athlon Silver 3050U (Beat i5-7200U), 16GB DDR4 RAM, 512GB SSD, 802.11ac, WiFi, Bluetooth, HDMI, Windows 10 w/HESVAP 3in1 Accessories  4.4 out of 5 stars 2,415  Personal Computers $569.00$569.00  Ships to Turkey

"
Product 29,"

Microsoft Surface Laptop Go - 12.4"" Touchscreen - Intel Core i5 - 8GB Memory - 128GB SSD - Sandstone  4.6 out of 5 stars 701  Sandstone  Climate Pledge FriendlySee 1 certificationWe’ve made it easier to discover products with sustainability certifications, as part of our commitment to help preserve the natural world. Time is fleeting. Learn more PRODUCT CERTIFICATION (1) EPEAT 

"
Product 30,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  HAOQIN HaoBook106 10.1 inch 2-in-1 Laptop Computer Touchscreen with Detachable Keyboard Intel Atom 2GB RAM 32GB ROM HD IPS Display Windows 10 Black  3.5 out of 5 stars 68  Personal Computers $189.99$189.99 $209.99$209.99  Ships to Turkey



"
Product 31,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Laptop Computer 14 inch Windows 10 Notebook PC - HAOQIN HaoBook140 Intel Celeron N3350 6GB DDR RAM 128GB SSD FHD IPS Display 5.0GHz WiFi Bluetooth 4.2 HDMI Pink  3.8 out of 5 stars 262  Personal Computers $269.99$269.99 $289.99$289.99  Ships to Turkey



"
Product 32,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  2 in 1 Laptop, WINNOVO TaBook, 13.3 Inch Touchscreen Laptop, Detachable Keyboard, Intel Celeron Quad Core Processor, 4GB RAM, 64GB ROM, 1920x1080 FHD IPS Display, Windows 10 S, 5G WiFi, HDMI(Grey)  Personal Computers $329.00$329.00  $50.00 coupon applied at checkoutSave $50.00  with coupon Ships to TurkeyOnly 16 left in stock - order soon.



"
